item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
2316,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:06:17.000Z
2325,1,pir,pir,1,pir.png,2021-07-06T19:06:23.000Z
2326,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:06:29.000Z
2335,1,pir,pir,1,pir.png,2021-07-06T19:06:35.000Z
2337,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:06:41.000Z
2343,1,ldr,ldr,0,ldr.png,2021-07-06T19:06:47.000Z
2348,1,gas,gas,0,gas.png,2021-07-06T19:06:53.000Z
2352,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:06:59.000Z
2360,1,ldr,ldr,0,ldr.png,2021-07-06T19:07:05.000Z
2361,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:07:11.000Z
2785,1,gas,gas,0,gas.png,2021-07-06T19:15:43.000Z
2787,1,dht/tc,temp,29.30,tem.png,2021-07-06T19:15:49.000Z
2792,1,dht/tc,temp,29.30,tem.png,2021-07-06T19:15:55.000Z
2798,1,dht/tc,temp,29.30,tem.png,2021-07-06T19:16:01.000Z
2805,1,ldr,ldr,0,ldr.png,2021-07-06T19:16:07.000Z
2807,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:16:13.000Z
2815,1,pir,pir,1,pir.png,2021-07-06T19:16:19.000Z
2816,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:16:25.000Z
2825,1,pir,pir,1,pir.png,2021-07-06T19:16:31.000Z
2828,1,ldr,ldr,0,ldr.png,2021-07-06T19:16:37.000Z
2834,1,ldr,ldr,0,ldr.png,2021-07-06T19:16:43.000Z
2836,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:16:50.000Z
2844,1,pir,pir,1,pir.png,2021-07-06T19:16:56.000Z
2847,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:17:02.000Z
2853,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:17:08.000Z
2857,1,gas,gas,0,gas.png,2021-07-06T19:17:14.000Z
3041,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:20:59.000Z
3050,1,pir,pir,1,pir.png,2021-07-06T19:21:05.000Z
3054,1,ldr,ldr,0,ldr.png,2021-07-06T19:21:11.000Z
3056,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:21:17.000Z
3065,1,pir,pir,1,pir.png,2021-07-06T19:21:23.000Z
3068,1,gas,gas,0,gas.png,2021-07-06T19:21:29.000Z
3074,1,ldr,ldr,0,ldr.png,2021-07-06T19:21:36.000Z
3078,1,ldr,ldr,0,ldr.png,2021-07-06T19:21:42.000Z
3083,1,gas,gas,0,gas.png,2021-07-06T19:21:48.000Z
701,1,gas,gas,0,gas.png,2021-07-06T18:33:25.000Z
710,1,pir,pir,1,pir.png,2021-07-06T18:33:32.000Z
713,1,ldr,ldr,0,ldr.png,2021-07-06T18:33:38.000Z
716,1,dht/tc,temp,29.70,tem.png,2021-07-06T18:33:44.000Z
722,1,gas,gas,0,gas.png,2021-07-06T18:33:50.000Z
726,1,gas,gas,0,gas.png,2021-07-06T18:33:56.000Z
734,1,pir,pir,1,pir.png,2021-07-06T18:34:02.000Z
740,1,pir,pir,1,pir.png,2021-07-06T18:34:08.000Z
741,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:34:14.000Z
742,1,dht/tc,temp,29.70,tem.png,2021-07-06T18:34:15.000Z
748,1,ldr,ldr,0,ldr.png,2021-07-06T18:34:20.000Z
751,1,dht/tc,temp,29.70,tem.png,2021-07-06T18:34:26.000Z
760,1,pir,pir,1,pir.png,2021-07-06T18:34:32.000Z
761,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:34:38.000Z
769,1,ldr,ldr,0,ldr.png,2021-07-06T18:34:45.000Z
771,1,dht/tc,temp,29.60,tem.png,2021-07-06T18:34:51.000Z
780,1,pir,pir,1,pir.png,2021-07-06T18:34:57.000Z
781,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:35:03.000Z
790,1,pir,pir,1,pir.png,2021-07-06T18:35:09.000Z
795,1,pir,pir,1,pir.png,2021-07-06T18:35:15.000Z
